country,total_litres_of_pure_alcohol,drink_type,servings
Burkina Faso,4.3,spirit_servings,7
Burkina Faso,4.3,wine_servings,7
Burundi,6.3,beer_servings,88
Burundi,6.3,spirit_servings,0
Burundi,6.3,wine_servings,0
Cote d'Ivoire,4,beer_servings,37
Cote d'Ivoire,4,spirit_servings,1
Cote d'Ivoire,4,wine_servings,7
Cabo Verde,4,beer_servings,144
Cabo Verde,4,spirit_servings,56
Cabo Verde,4,wine_servings,16
Cambodia,2.2,beer_servings,57
Cambodia,2.2,spirit_servings,65
Cambodia,2.2,wine_servings,1
Cameroon,5.8,beer_servings,147
Cameroon,5.8,spirit_servings,1
Cameroon,5.8,wine_servings,4
Canada,8.2,beer_servings,240
Canada,8.2,spirit_servings,122
Canada,8.2,wine_servings,100
Central African Republic,1.8,beer_servings,17
Central African Republic,1.8,spirit_servings,2
Central African Republic,1.8,wine_servings,1
Chad,0.4,beer_servings,15
Chad,0.4,spirit_servings,1
Chad,0.4,wine_servings,1
Chile,7.6,beer_servings,130
Chile,7.6,spirit_servings,124
Chile,7.6,wine_servings,172
China,5,beer_servings,79
China,5,spirit_servings,192
China,5,wine_servings,8
Colombia,4.2,beer_servings,159
Colombia,4.2,spirit_servings,76
Colombia,4.2,wine_servings,3
Comoros,0.1,beer_servings,1
Comoros,0.1,spirit_servings,3
Comoros,0.1,wine_servings,1
Congo,1.7,beer_servings,76
Congo,1.7,spirit_servings,1
Congo,1.7,wine_servings,9
Cook Islands,5.9,beer_servings,0
Cook Islands,5.9,spirit_servings,254
Cook Islands,5.9,wine_servings,74
Costa Rica,4.4,beer_servings,149
Costa Rica,4.4,spirit_servings,87
Costa Rica,4.4,wine_servings,11
Croatia,10.2,beer_servings,230
Croatia,10.2,spirit_servings,87
Croatia,10.2,wine_servings,254
Cuba,4.2,beer_servings,93
Cuba,4.2,spirit_servings,137
Cuba,4.2,wine_servings,5
Cyprus,8.2,beer_servings,192
Cyprus,8.2,spirit_servings,154
Cyprus,8.2,wine_servings,113
Czech Republic,11.8,beer_servings,361
Czech Republic,11.8,spirit_servings,170
